Categorization,Num Establishments,Num Rooms
Classified Tourist Hotels,141,12828
Five stars,20,4217
Four Star,19,2149
Three Star,25,2957
Two Star,37,1738
One Star,40,1767
Tourist Hotels (Unclassified),229,9962
Boutique Hotel,28,564
Boutique Villa,37,242
Guest House,895,9708
Bungalow,348,1462
Heritage Bungalow,4,19
Heritage Home,2,8
Home Stay Unit,378,1138
Rented Apartment,63,183
Rented Home,6,19
