Categorization,Num Establishments,Num Rooms
Classified Tourist Hotels,150,14229
Five star,24,5213
Four star,25,3065
Three star,24,2411
Two star,39,1878
One star,38,1662
Tourist Hotel (unclassified),235,9758
Boutique Hotel,34,685
Boutique Villa,44,310
Guest House,1012,11062
Bungalow,443,1808
Heritage Bungalow,4,19
Heritage Home,3,9
Home Stay Unit,520,1574
Hostels,6,60
Rented Apartment,73,231
Rented Home,5,14
