Categorization,Num Establishments,Num Rooms
Classified Tourist Hotels,138,13079
Five Star,22,4950
Four Star,21,2369
Three Star,23,2364
Two Star,35,1680
One Star,37,1716
Tourist Hotel (Unclassified),229,9756
Boutique Hotel,29,574
Boutique Villa,39,256
Guest House,914,9953
Bungalow,372,1554
Heritage Bungalow,4,19
Heritage Home,2,8
Home Stay Unit,415,1259
Rented Apartment,67,216
Rented Home,6,19
