Categorization,Num Establishments,Num Rooms
Boutique Hotel,38,835
Boutique Villa,49,345
Bungalow,1052,4390
Classified Tourist Hotel,167,16808
One Star,41,1852
Two Star,40,2431
Three Star,25,2408
Four Star,31,3834
Five Star,30,6283
Guest House,1647,18445
Eco lodge,1,20
Heritage Bungalow,4,19
Heritage Home,2,2
Heritage Hotel,2,312
Home Stay Unit,1112,3308
Hostels,14,158
Rented Apartment,82,322
Rented Home,15,41
Themed Accommodation & Value-added Activities,1,11
Tourist Hotel,204,8362
