Categorization,Num Establishments,Num Rooms
Classified Tourist Hotels,145,13408
Five Star,23,5150
Four Star,21,2302
Three Star,24,2416
Two Star,38,1788
One Star,39,1752
Tourist Hotel (Unclassified),241,10456
Boutique Hotel,31,628
Boutique Villa,40,265
Guest House,936,10218
Bungalow,395,1633
Heritage Bungalow,4,19
Heritage Home,3,9
Home Stay Unit,442,1337
Rented Apartment,69,222
Rented Home,6,19
