Categorization,Num Establishments,Num Rooms
Classified Tourist Hotels,155,14093
Five star 26 5,354
Four Star 24 2,564
Three Star 26 2,513
Two Star 41 2,000
One Star 38 1,662
Boutique Hotel,36,722
Boutique Villa,46,326
Bungalow,460,1862
Guest House,1050,11661
Heritage Bungalow,4,19
Heritage Home,3,9
Home Stay Unit,548,1672
Hostels,10,125
Rented Apartment,70,226
Rented Home,5,14
Tourist Hotel (Unclassified),233,9636
