Categorization,Num Establishments,Num Rooms
Boutique Hotel, 40, 845
Boutique Villa, 46, 325
Bungalow, 772, 3118
Classified Tourist Hotels, 159, 14717
Five star, 27, 5630
Four Star, 27, 2914
Three Star, 25, 2394
Two Star, 41, 2068
One Star, 39, 1711
Guest House, 1328, 14842
Heritage Bungalow, 4, 19
Heritage Home, 3, 9
Home Stay Unit, 965, 2908
Hostels, 11, 133
Rented Apartment, 83, 314
Rented Home, 10, 36
Tourist Hotel (Unclassified), 235, 10071
