Categorization,Num Establishments,Num Rooms
Classified Tourist Hotels,149,13720
Five star,23,5150
Four Star,25,2614
Three Star,24,2416
Two Star,39,1878
One Star,38,1662
Tourist Hotel (Unclassified),243,10463
Boutique Hotel,34,680
Boutique Villa,41,272
Guest House,993,10837
Bungalow,424,1746
Heritage Bungalow,4,19
Heritage Home,3,9
Home Stay Unit,497,1502
Hostels,4,31
Rented Apartment,71,227
Rented Home,6,19
