Categorization,Num Establishments,Num Rooms
Classified Tourist Hotels,136,12822
Five Star,22,4950
Four Star,19,2112
Three Star,23,2364
Two Star,35,1680
One Star,37,1716
Tourist Hotels (Unclassified),230,9952
Boutique Hotels,28,564
Boutique Villas,38,251
Guest Houses,904,9845
Bungalows,354,1491
Heritage Bungalows,4,19
Heritage Homes,2,8
Home Stay Units,395,1194
Rented Apartments,67,216
Rented Homes,6,19
