Categorization,Num Establishments,Num Rooms
Boutique Hotel,40,845
Boutique Villa,49,346
Bungalow,857,3513
Classified Tourist Hotels,156,15080
Five Star,28,5931
Four Star,28,3110
Three Star,26,2449
Two Star,37,1903
One Star,37,1687
Guest House,1380,15438
Heritage Bungalow,4,19
Heritage Home,3,9
Home Stay unit,1009,3049
Hostels,11,133
Rented Apartment,85,323
Rented Home,10,28
Themed Accommodation,1,11
Tourist Hotel (Unclassified),224,9326
