Categorization,Num Establishments,Num Rooms
Classified Tourist Hotels,147,13544
Five star,23,5150
Four Star,23,2438
Three Star,24,2416
Two Star,39,1878
One Star,38,1662
Tourist Hotel (Unclassified),242,10446
Boutique Hotel,32,638
Boutique Villa,40,265
Guest House,969,10594
Bungalow,412,1701
Heritage Bungalow,4,19
Heritage Home,3,9
Home Stay Unit,476,1434
Hostels,2,16
Rented Apartment,70,223
Rented Home,6,19
