year,month,categorization,num_establishments,num_rooms
2022,12,Rented Home,10,28
2022,12,Themed Accommodation,1,11
2022,12,Tourist Hotel (Unclassified),224,9326
2023,12,Boutique Hotel,41,865
2023,12,Boutique Villa,51,356
2023,12,Bungalow,984,4078
2023,12,Classified Tourist Hotel,168,16686
2023,12,1 Star,41,1852
2023,12,2 Star,41,2499
2023,12,3 Star,26,2462
2023,12,4 Star,30,3590
2023,12,5 Star,30,6283
2023,12,Guest House,1679,18622
2023,12,Eco lodge,1,20
2023,12,Heritage Bungalow,4,19
2023,12,Heritage Home,2,2
2023,12,Heritage Hotel,2,312
2023,12,Home Stay Unit,1080,3231
2023,12,Hostels,12,143
2023,12,Rented Apartment,86,328
2023,12,Rented Home,14,41
2023,12,Themed Accommodation & Value-added Activities,1,11
2023,12,Tourist Hotel,221,8515
2024,6,Boutique Hotel,38,835
2024,6,Boutique Villa,49,345
2024,6,Bungalow,1052,4390
2024,6,Classified Tourist Hotel,167,16808
2024,6,1 Star,41,1852
2024,6,2 Star,40,2431
2024,6,3 Star,25,2408
2024,6,4 Star,31,3834
2024,6,5 Star,30,6283
2024,6,Guest House,1647,18445
2024,6,Eco lodge,1,20
2024,6,Heritage Bungalow,4,19
2024,6,Heritage Home,2,2
2024,6,Heritage Hotel,2,312
2024,6,Home Stay Unit,1112,3308
2024,6,Hostels,14,158
2024,6,Rented Apartment,82,322
2024,6,Rented Home,15,41
2024,6,Themed Accommodation & Value-added Activities,1,11
2024,6,Tourist Hotel,204,8362
