year,month,project_status,district,num_of_projects,num_of_rooms,investments
2019,9,none,Nuwara Eliya,9,714,NA
2019,9,none,Puttalam,15,685,NA
2019,9,none,Trincomalee,22,615,NA
2019,9,none,Monaragala,2,42,NA
2019,9,none,Mannar,1,52,NA
2019,9,none,Polonnaruwa,2,54,NA
2019,9,none,Rathnapura,3,66,NA
2019,9,none,Vavunia,2,49,NA
2019,12,none,Ampara,9,118,NA
2019,12,none,Anuradhapura,5,143,NA
2019,12,none,Batticaloa,17,438,NA
2019,12,none,Badulla,10,300,NA
2019,12,none,Colombo,50,6583,NA
2019,12,none,Galle,72,3318,NA
2019,12,none,Gampaha,27,1316,NA
2019,12,none,Hambantota,35,1820,NA
2019,12,none,Jaffna,11,336,NA
2019,12,none,Kalutara,29,1685,NA
2019,12,none,Kandy,18,591,NA
2019,12,none,Kegalle,3,70,NA
2019,12,none,Kurunegala,2,27,NA
2019,12,none,Kilinochchi,1,15,NA
2019,12,none,Matale,19,677,NA
2019,12,none,Matara,36,1124,NA
2019,12,none,Nuwara Eliya,11,725,NA
2019,12,none,Puttalam,16,703,NA
2019,12,none,Trincomalee,25,694,NA
2019,12,none,Monaragala,2,42,NA
2019,12,none,Mannar,1,52,NA
2019,12,none,Polonnaruwa,2,54,NA
2019,12,none,Ratnapura,4,71,NA
2019,12,none,Vavuniya,2,49,NA
2020,12,none,Ampara,12,144,NA
2020,12,none,Anuradhapura,5,143,NA
2020,12,none,Batticaloa,18,464,NA
2020,12,none,Badulla,11,300,NA
2020,12,none,Colombo,50,6277,NA
2020,12,none,Galle,77,3415,NA
2020,12,none,Gampaha,27,1388,NA
2020,12,none,Hambantota,35,1820,NA
2020,12,none,Jaffna,11,336,NA
2020,12,none,Kalutara,30,1691,NA
2020,12,none,Kandy,19,669,NA
2020,12,none,Kegalle,3,70,NA
2020,12,none,Kurunegala,2,27,NA
2020,12,none,Kilinochchi,1,15,NA
2020,12,none,Matale,22,834,NA
2020,12,none,Matara,39,1198,NA
2020,12,none,Nuwara Eliya,11,725,NA
2020,12,none,Puttalam,17,725,NA
2020,12,none,Trincomalee,27,716,NA
2020,12,none,Monaragala,2,42,NA
2020,12,none,Mannar,1,52,NA
2020,12,none,Polonnaruwa,2,54,NA
2020,12,none,Rathnapura,3,66,NA
2020,12,none,Vavuniya,2,49,NA
2021,12,none,Ampara,12,144,NA
2021,12,none,Anuradhapura,5,143,NA
2021,12,none,Batticaloa,19,490,NA
2021,12,none,Badulla,12,304,NA
2021,12,none,Colombo,52,6339,NA
2021,12,none,Galle,86,3552,NA
2021,12,none,Gampaha,29,1644,NA
2021,12,none,Hambantota,37,1840,NA
2021,12,none,Jaffna,11,336,NA
2021,12,none,Kalutara,30,1691,NA
2021,12,none,Kandy,21,918,NA
2021,12,none,Kegalle,3,70,NA
2021,12,none,Kurunegala,2,27,NA
2021,12,none,Kilinochchi,2,36,NA
2021,12,none,Matale,25,882,NA
2021,12,none,Matara,42,1242,NA
2021,12,none,Nuwara Eliya,13,753,NA
2021,12,none,Puttalam,17,725,NA
2021,12,none,Trincomalee,28,750,NA
2021,12,none,Monaragala,2,42,NA
2021,12,none,Mannar,1,52,NA
2021,12,none,Polonnaruwa,2,54,NA
2021,12,none,Rathnapura,3,66,NA
2021,12,none,Vavuniya,3,67,NA
2022,12,none,Colombo,none,8758,NA
2022,12,none,Galle,none,8135,NA
