Index,Country,January,February,March,April,May,June,July,August,September,October,November,December,Total
1,Afghanistan,26,21,18,0,20,2,15,18,5,7,5,61,198
2,Albania,7,6,13,10,11,7,11,13,6,8,10,15,117
3,Algeria,18,38,10,38,28,48,54,49,25,26,28,37,399
4,Andorra,3,6,10,1,7,6,20,25,23,14,3,13,131
5,Angola,8,0,2,1,5,0,0,2,1,2,3,0,24
6,Antigua and Barbuda,3,5,5,3,1,0,5,2,1,9,3,9,46
7,Argentina,141,79,120,102,44,51,50,43,45,91,66,99,931
8,Armenia,510,264,326,128,60,71,128,136,107,371,229,304,"2,634"
9,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Australia,"6,645","6,265","8,852","7,202","5,465","6,317","7,371","6,687","7,200","6,523","7,937","13,109","89,573"
11,Austria,"2,385","2,372","1,674","1,092",544,384,"1,722","1,150",757,917,"1,705","2,401","17,103"
12,Azerbaijan,163,157,469,101,39,83,150,97,100,98,438,140,"2,035"
13,Bahamas,0,0,4,0,0,3,3,0,1,4,1,5,21
14,Bahrain,122,81,29,85,68,197,162,140,54,64,86,81,"1,169"
15,Bangladesh,"2,329","2,389","1,308","2,354","2,878","4,374","4,607","3,877","4,178","3,732","3,375","4,154","39,555"
16,Barbados,0,1,13,2,0,5,4,3,0,7,1,7,43
17,Belarus,"2,342","1,884","1,665",752,195,175,203,199,177,504,"1,429","1,408","10,933"
18,Belgium,"1,313","1,577","1,565",914,549,872,"3,435","1,751","1,669",847,"1,390","1,337","17,219"
19,Belize,1,2,4,2,0,1,4,1,1,2,2,4,24
20,Benin,0,0,0,1,2,1,1,0,2,0,3,3,13
21,Bhutan,135,67,68,24,52,33,29,51,45,41,80,90,715
22,Bolivia,8,7,2,6,5,4,2,6,3,3,7,2,55
23,Bosnia and Herzegovina,37,66,17,18,15,10,18,19,26,14,18,48,306
24,Botswana,3,2,3,2,1,5,3,7,2,4,1,21,54
25,Brazil,236,212,159,239,106,111,134,129,100,125,186,208,"1,945"
26,Brunei Darussalam,1,11,9,4,3,15,7,6,0,2,1,6,65
27,Bulgaria,656,624,458,313,71,26,34,43,32,233,488,721,"3,699"
28,Burkina Faso,0,0,0,1,1,0,0,0,0,2,0,1,5
29,Burundi,0,0,1,0,1,1,0,1,3,0,1,1,9
30,Cambodia,42,41,531,162,82,50,24,25,55,59,53,59,"1,183"
31,Cameroon,1,4,4,1,0,0,2,0,0,4,2,3,21
32,Canada,"4,126","3,912","4,034","3,594","3,294","3,263","4,821","3,868","2,095","2,339","3,085","3,781","42,212"
33,Cape Verde,0,0,0,0,0,0,1,1,0,0,0,0,2
34,Chad,0,0,1,0,0,0,0,1,0,1,0,2,5
35,Central African Republic,0,0,29,0,0,0,1,1,0,0,0,1,32
36,Chile,56,61,77,53,42,32,36,42,32,40,34,47,552
37," 
China","12,528","16,279","13,836","8,969","7,930","9,222","13,685","12,088","9,685","9,164","8,371","9,924","131,681"
38,Colombia,54,70,69,88,40,44,51,51,26,62,52,59,666
39,Comoros,6,6,3,2,10,8,17,14,5,13,4,3,91
40,Congo,2,5,0,0,2,3,2,3,0,0,4,12,33
41,Costa Rica,20,14,11,11,7,3,3,2,2,5,9,11,98
42,Cote Divoire,0,1,2,0,0,0,0,1,0,2,5,0,11
43,Croatia,281,249,200,70,35,23,78,133,95,110,217,368,"1,859"
44,Cuba,6,1,10,1,1,10,4,6,6,4,3,5,57
45,Cyprus,91,62,67,112,31,57,191,307,45,52,50,129,"1,194"
46,Czech Republic,"3,484","3,852","2,988","1,279",314,526,"1,133",822,496,729,"1,357","2,299","19,279"
47,Denmark,"2,542","2,160","1,497",822,410,714,"2,147",606,566,739,"1,036","1,713","14,952"
48,Djibouti,1,4,5,0,0,1,0,2,2,3,0,0,18
49,Dominica,7,9,14,8,11,9,17,6,2,14,18,9,124
50,Dominican Republic,8,1,3,1,4,3,1,2,1,5,0,6,35
51,Ecuador,9,13,7,9,8,9,11,1,11,13,7,18,116
52,Egypt,396,476,99,458,223,365,326,265,232,282,456,491,"4,069"
53,El Salvador,2,4,4,1,1,5,4,1,3,2,2,3,32
54,Equatorial Guinea,0,0,0,6,0,0,0,0,0,0,0,0,6
55,Eritrea,1,1,1,3,2,6,0,0,0,1,3,2,20
56,Estonia,910,898,690,236,11,30,24,15,45,131,234,576,"3,800"
57,Ethiopia,8,6,10,17,6,13,11,14,12,12,9,13,131
58,Fiji,16,9,11,26,13,9,9,7,2,10,26,25,163
59,Finland,737,666,464,238,159,130,94,100,165,215,534,774,"4,276"
60,France,"9,919","12,503","10,960","8,792","4,064","3,102","9,405","8,596","3,749","4,688","6,665","6,332","88,775"
61,Gabon,0,0,0,0,0,0,0,0,2,0,0,0,2
62,"Gambia, The",0,2,0,2,4,2,1,3,1,0,1,3,19
63,Georgia,216,187,148,132,39,26,30,26,27,24,99,70,"1,024"
64,Germany,"13,593","16,259","18,324","9,843","7,495","4,556","10,618","10,623","8,260","9,217","12,593","14,703","136,084"
65,Ghana,3,4,4,3,1,0,4,4,6,11,8,10,58
66,Greece,264,264,305,306,133,82,119,339,106,142,260,533,"2,853"
