Index,Country,January,February,March,April,May,June,July,August,September,October,November,December,Total
67,Grenada,1,0,2,2,0,5,2,5,3,3,7,7,37
68,Guatemala,2,10,2,6,6,5,1,3,4,4,6,14,63
69,Guinea-Bissau,0,0,1,0,0,0,1,0,2,0,0,0,4
70,Guinea,0,2,0,2,1,5,0,2,0,1,0,2,15
71,Guyana,0,1,4,0,0,3,1,2,3,9,2,2,27
72,Haiti,1,0,0,0,0,1,2,0,1,3,9,1,18
73,Honduras,1,1,1,2,2,0,2,2,2,2,2,2,19
74,Hungary,"1,544","1,311",585,237,78,160,210,261,137,431,648,978,"6,580"
75,Iceland,41,28,26,16,22,6,29,21,12,20,58,44,323
76,India,"34,399","30,027","31,853","27,304","32,254","28,631","41,173","33,031","27,884","36,417","41,120","52,881","416,974"
77,Indonesia,224,320,257,248,218,272,275,291,431,297,532,379,"3,744"
78,Iran,688,919,"3,589",426,280,318,339,883,"1,227",591,804,794,"10,858"
79,Iraq,54,74,21,58,101,93,119,172,81,64,79,96,"1,012"
80,Ireland,797,874,"1,008",846,315,673,715,586,434,706,703,"1,090","8,747"
81,Israel,773,"1,988","2,212","3,169","1,506","1,515","2,962","3,248","3,142","1,398",878,"2,054","24,845"
82,Italy,"3,485","3,194","2,502","2,245","1,010","1,792","3,630","9,586","1,902","1,431","2,237","5,695","38,709"
83,Jamaica,4,11,18,1,7,12,7,5,12,9,5,4,95
84,Japan,"1,993","2,666","2,575","1,949","1,581","1,666","2,202","4,102","3,526","2,392","2,178","3,599","30,429"
85,Jordan,180,227,85,313,149,373,275,173,151,315,224,358,"2,823"
86,Kazakhstan,"3,350","2,682","2,266",152,65,96,168,71,99,213,289,"1,932","11,383"
87,Kenya,42,64,80,45,45,29,128,54,79,42,62,137,807
88,Kiribati,0,0,1,0,0,0,0,0,0,0,0,0,1
89,Kosovar,1,4,3,3,5,2,1,1,6,3,4,12,45
90,Kuwait,231,222,59,225,77,231,198,207,119,70,96,150,"1,885"
91,Kyrgyzstan,239,219,108,50,32,25,65,21,35,34,95,146,"1,069"
92,"Lao, People's Democratic ",4,13,11,12,18,19,11,9,4,1,11,12,125
93,Latvia,750,654,670,146,22,30,30,23,29,152,435,629,"3,570"
94,Lebanon,155,293,242,671,216,308,283,244,163,110,332,421,"3,438"
95,Lesotho,0,1,3,0,0,0,1,1,3,0,0,6,15
96,Liberia,0,1,0,0,0,1,4,1,1,2,2,0,12
97,Libya,2,7,0,3,11,4,2,6,0,5,5,30,75
98,Liechtenstein,7,9,5,10,2,3,10,5,3,7,14,17,92
99,Lithuania,"1,015","1,601","1,219",401,69,73,174,111,92,285,488,867,"6,395"
100,Luxembourg,70,86,104,81,37,13,77,109,13,29,62,83,764
101,Macedonia,20,24,16,23,29,10,25,14,16,30,15,31,253
102,Madagascar,13,10,19,7,5,7,28,11,6,10,15,12,143
103,Malawi,3,0,5,3,4,1,10,2,2,5,11,7,53
104,Malaysia,"1,096","2,250","1,721","1,277","1,204","1,384","1,596","1,571","1,954","1,013","1,467","1,726","18,259"
105,Maldives,"2,919","3,235","1,562","2,938","8,040","5,109","3,097","3,198","4,359","2,880","2,982","6,903","47,222"
106,Mali,0,1,1,1,0,1,1,2,3,1,0,0,11
107,Malta,92,125,125,38,21,14,61,136,108,23,53,204,"1,000"
108,Marshall Islands,1,0,0,0,0,0,0,0,0,1,0,0,2
109,Mauritania,0,0,4,1,1,0,0,0,1,2,0,0,9
110,Mauritius,48,53,43,59,25,25,33,57,20,21,120,251,755
111,Micronesia ,0,0,1,0,0,0,0,1,0,1,0,0,3
112,Mexico,96,95,111,155,57,38,44,58,100,90,87,137,"1,068"
113,Moldova,134,166,92,81,8,2,13,11,6,18,55,137,723
114,Monaco,5,11,1,3,0,0,4,2,1,3,0,2,32
115,Mongolia,15,6,7,4,8,22,10,1,20,2,15,19,129
116,Montenegro,34,19,17,18,2,3,6,9,1,5,12,43,169
117,Morocco,62,103,35,131,59,80,87,112,78,100,74,121,"1,042"
118,Mozambique,2,2,5,1,7,4,1,1,2,3,1,19,48
119,Myanmar,106,101,110,125,83,117,194,417,33,82,65,82,"1,515"
120,Namibia,3,5,5,3,0,2,6,0,2,1,2,7,36
121,Nauru,0,0,2,0,0,0,0,0,0,0,0,0,2
122,Nepal,625,508,309,284,282,200,382,252,234,552,386,449,"4,463"
123,Netherlands,"4,531","4,011","3,707","3,437","1,845","1,935","11,431","5,355","3,725","2,859","3,387","3,893","50,116"
124,Netherlands Antilles,0,0,0,0,0,0,0,0,1,0,1,0,2
125,New Zealand,732,567,"1,032","1,116",664,853,"1,017","1,011","1,033",780,915,"1,562","11,282"
126,Nicaragua,1,1,1,1,0,1,0,0,1,0,1,1,8
127,Niger,0,1,0,1,0,0,0,0,0,0,0,0,2
128,Nigeria,1,11,3,9,0,1,9,5,18,7,19,13,96
129,Norway,"1,226","1,329","1,033",548,379,"1,452","1,800",486,443,442,783,"1,478","11,399"
130,Oman,236,116,28,125,139,322,685,473,185,155,170,141,"2,775"
131,Pakistan,956,"1,299",941,797,938,"1,399","1,848","1,040",556,"1,140","1,148","1,389","13,451"
132,Palau,0,0,0,0,0,0,0,0,33,0,0,1,34
133,Palestinian Territories,25,61,8,57,31,81,96,65,0,36,63,77,600
134,Panama,4,7,5,3,2,0,3,1,4,3,1,3,36
135,Papua New Guinea,3,1,28,3,0,4,2,5,9,6,7,14,82
136,Paraguay,2,2,4,2,2,1,1,0,0,1,3,1,19
137,Peru,24,13,24,42,16,11,16,25,13,32,23,8,247
138,Philippines,262,440,395,578,395,544,500,465,398,407,398,485,"5,267"
139,Poland,"7,800","6,909","4,789","2,349","1,002","1,047","2,257","2,240","2,243","2,132","5,164","6,233","44,165"
140,Portugal,487,654,670,530,314,281,351,667,410,633,856,636,"6,489"
141,Qatar,41,45,16,99,39,80,156,102,19,33,34,82,746
142,Romania,853,940,638,655,147,192,264,336,254,354,531,"1,243","6,407"
143,Russian Federation,"31,159","32,030","28,016","15,103","4,384","3,412","4,578","4,351","4,199","10,367","29,053","35,268","201,920"
144,Rwanda,1,6,3,2,1,5,4,2,8,3,5,6,46
145,Saint Kitts and Nevis,17,12,10,26,10,10,8,8,9,9,14,19,152
146,Saint Lucia,1,1,2,0,0,4,1,1,1,15,0,3,29
147,Saint Vincent The Grenadi,0,1,0,0,1,0,1,0,0,1,0,1,5
148,Samoa,0,0,0,0,0,1,0,0,0,1,0,0,2
149,San Marino,6,0,0,0,2,4,0,1,2,3,8,8,34
150,Saudi Arabia,511,549,91,360,213,990,"1,276",330,319,251,644,353,"5,887"
151,Senegal,4,2,0,3,0,1,2,0,0,2,4,5,23
152,Serbia,314,293,239,222,32,52,91,107,103,147,181,234,"2,015"
153,Seychelles,211,149,198,289,117,238,222,327,196,143,167,434,"2,691"
154,Sierra Leone,2,2,2,3,0,1,4,3,1,2,2,4,26
155,Singapore,804,862,"1,166",858,914,"1,284",853,"1,215",710,717,"1,197","2,011","12,591"
156,Slovakia,990,"1,179",945,535,173,163,292,290,255,439,736,713,"6,710"
157,Slovenia,275,611,194,338,46,115,417,186,188,297,200,610,"3,477"
158,Solomon Islands,0,1,0,0,0,1,1,1,3,1,2,1,11
159,Somalia,6,4,10,8,5,4,6,19,7,12,8,9,98
160,South Africa,332,350,548,474,195,349,333,324,299,259,320,"1,089","4,872"
161,South Korea ,"1,677",830,861,637,571,579,"1,009",698,608,876,"1,188","1,266","10,800"
162,South Sudan,3,1,0,0,0,0,0,1,0,3,1,0,9
163,Spain,"2,004","2,036","2,706","2,166","1,369","2,081","4,224","7,262","4,166","3,458","3,655","2,801","37,928"
164,Sudan,54,41,14,68,69,116,122,77,62,112,110,96,941
165,Swaziland,2,0,1,0,2,0,3,4,1,5,4,6,28
166,Suriname,2,0,0,3,0,1,2,2,0,0,2,3,15
167,Sweden,"1,921","1,903","1,331",537,278,568,716,290,345,716,"1,132","3,676","13,413"
168,Switzerland,"2,951","2,888","2,522","2,557","1,345","1,291","5,089","1,856","1,778","1,816","2,490","3,246","29,829"
169,Syrian Arab Republic,2,10,0,7,3,1,0,0,0,1,1,0,25
170,Tajikistan,18,8,11,10,10,12,11,20,8,17,15,9,149
171,Tanzania,12,25,15,11,14,18,74,15,20,18,29,17,268
172,Thailand,505,716,928,834,583,364,483,598,384,581,622,648,"7,246"
173,Timor-Leste,4,0,3,6,2,2,0,0,0,1,4,7,29
174,Togo,0,0,1,0,1,1,0,3,0,2,1,0,9
175,Tonga,1,0,0,2,3,4,1,1,0,1,3,0,16
176,Trinidad and Tobago,6,16,14,8,10,7,5,6,4,8,14,4,102
177,Tunisia,56,136,27,152,57,59,79,54,45,165,42,108,980
178,Turkey,717,663,473,910,294,572,403,448,361,409,620,803,"6,673"
179,Turkmenistan,11,5,9,8,3,1,14,6,2,21,6,5,91
180,Tuvalu,0,0,0,0,0,2,0,0,0,0,0,0,2
181,Uganda,11,33,15,29,16,13,18,13,10,8,15,15,196
182,Ukraine,"1,485","1,193",907,437,203,206,214,203,191,350,554,"1,156","7,099"
183,United Arab Emirates,219,227,72,378,229,591,836,562,270,304,282,326,"4,296"
184,United Kingdom,"16,665","20,614","21,540","13,173","8,094","9,266","20,837","17,587","8,688","10,206","12,912","18,757","178,339"
185,United States,"5,712","5,709","7,617","5,574","4,082","4,023","4,962","3,539","2,460","3,170","4,472","8,212","59,532"
186,Uruguay,12,16,11,8,20,5,3,4,7,4,6,6,102
187,Uzbekistan,402,70,71,57,32,42,64,28,31,70,56,295,"1,218"
188,Vanuatu,1,2,6,4,2,13,6,9,5,6,3,4,61
189,Venezuela,3,17,19,25,6,11,8,9,8,10,14,17,147
190,Viet Nam,166,270,304,235,290,237,279,293,183,202,346,158,"2,963"
191,Yemen ,29,65,11,26,14,43,73,45,11,21,40,27,405
192,Zambia,1,3,6,1,2,1,0,3,1,11,8,13,50
193,Zimbabwe,36,12,25,16,11,14,13,11,3,14,26,22,203
Total,,"208,253","218,350","209,181","148,867","112,128","113,470","187,810","164,609","122,140","135,907","184,158","248,592","2,053,465"
