Index,Country,January,February,March,April,May,June,July,August,September,October,November,December,Total
52,Equatorial Guinea,0,0,0,0,2,1,0,0,0,0,0,0,3
53,Eritrea,2,2,1,0,3,0,0,1,0,0,2,1,12
54,Estonia,185,285,210,64,12,5,8,2,10,58,28,111,978
55,Ethiopia,3,4,5,3,11,6,3,0,2,3,2,14,56
56,Fiji,0,0,6,0,1,1,3,3,8,4,3,19,48
57,Finland,271,298,181,169,45,95,59,40,28,78,77,159,"1,500"
58,France,"3,616","5,699","5,741","4,035","1,076","1,717","3,567","2,784","1,201","1,540","1,841","2,665","35,482"
59,Gabon,0,0,1,1,0,0,0,0,0,0,1,0,3
60,Gambia,0,0,0,1,0,0,0,0,0,0,0,0,1
61,Georgia,106,168,67,28,64,61,24,70,28,40,71,65,792
62,Germany,"5,339","7,780","9,561","6,088","2,208","2,466","3,666","3,251","2,149","2,881","5,169","4,984","55,542"
63,Ghana,2,3,0,0,1,1,3,2,0,0,10,7,29
64,Greece,78,150,102,145,25,16,40,49,27,52,41,174,899
65,Guam,0,2,0,0,0,0,0,0,0,0,0,0,2
66,Grenada,0,0,3,0,0,3,2,1,3,1,0,1,14
67,Guatemala,0,3,2,8,0,0,,0,0,0,1,2,16
68,Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,1,1
69,Guyana,0,0,4,2,0,0,0,1,0,0,1,1,9
70,Honduras,1,2,0,0,0,0,1,0,2,0,2,2,10
71,Hong Kong,0,0,0,0,0,0,0,0,0,0,0,1,1
72,Haiti,0,0,0,1,0,0,0,0,0,0,0,0,1
73,Hungary,425,502,508,217,33,47,42,17,31,66,136,300,"2,324"
74,Iceland,21,22,18,21,4,23,11,1,2,5,6,29,163
75,India,"11,751","12,744","23,216","8,678","5,562","6,810","6,031","5,340","6,493","8,862","10,167","17,350","123,004"
76,Indonesia,75,81,112,56,72,45,30,36,71,70,103,134,885
77,Iran,260,303,"2,235",227,102,79,35,88,214,190,206,362,"4,301"
78,Iraq,72,171,236,71,120,40,98,59,18,44,39,145,"1,113"
79,Ireland,217,375,746,603,191,137,172,80,52,101,139,243,"3,056"
80,Israel,707,"1,587","1,007","1,228",150,212,404,643,826,557,548,"1,457","9,326"
81,Italy,503,553,730,584,329,506,650,937,352,480,619,"1,206","7,449"
82,Jamaica,2,0,4,2,0,1,0,1,1,0,0,2,13
83,Japan,92,122,226,249,158,148,169,294,226,318,377,708,"3,087"
84,Jordan,224,230,363,135,207,79,242,154,145,181,177,335,"2,472"
85,Kazakhstan,"2,041","2,821","2,598",122,28,22,12,13,27,27,95,262,"8,068"
86,Kenya,19,19,42,20,12,12,5,9,6,15,29,42,230
87,Kosovar,2,0,3,3,0,1,1,0,0,1,1,1,13
88,Kuwait,36,204,131,49,118,45,78,53,43,58,41,96,952
89,Kyrgyzstan,125,109,82,22,21,0,1,9,9,30,30,94,532
90,Lao Peoples ,2,9,4,0,0,1,0,3,3,4,0,3,29
91,Latvia,192,209,375,67,11,12,12,6,10,39,237,135,"1,305"
92,Lebanon,87,153,200,305,123,71,108,58,58,88,88,267,"1,606"
93,Lesotho,0,0,0,0,2,1,0,0,0,0,0,0,3
94,Liberia,0,1,1,0,1,0,1,0,0,1,0,0,5
95,Libya,0,8,3,0,0,0,2,0,3,5,0,8,29
96,Liechtenstein,1,1,5,5,3,0,1,0,0,2,1,8,27
97,Lithuania,352,555,466,146,50,32,52,29,21,59,195,158,"2,115"
98,Luxembourg,11,33,24,63,6,5,16,18,8,9,13,27,233
99,Macedonia,3,29,16,7,1,0,0,0,2,4,3,6,71
100,Madagascar,2,3,4,6,2,9,4,8,3,5,6,10,62
101,Malawi,0,3,0,0,1,5,0,0,1,0,2,3,15
102,Malaysia,159,147,317,244,153,161,123,135,207,264,350,519,"2,779"
103,Maldives,"2,401","1,532","1,910",567,849,"1,130","1,207",957,"1,314","1,943","1,626","3,444","18,880"
104,Mali,0,0,1,0,0,0,0,0,0,1,1,0,3
105,Malta,8,15,12,34,10,20,5,15,41,10,5,98,273
106,Marshall Islands,1,0,0,1,0,0,0,0,0,0,0,0,2
107,Mauritania,0,1,2,0,0,0,1,0,0,0,1,0,5
108,Mauritius,7,14,9,12,7,2,7,3,7,4,17,41,130
109,Mexico,21,33,43,35,18,12,18,15,13,29,33,64,334
110,Micronesia ,0,0,0,0,0,0,0,0,0,0,0,1,1
111,Moldova,79,56,14,7,6,2,1,1,6,12,20,37,241
112,Monaco,1,1,4,3,0,0,0,0,0,3,0,31,43
113,Mongolia,14,22,0,1,1,1,4,1,4,3,1,0,52
114,Montenegro,5,13,12,9,2,1,3,1,0,0,7,6,59
115,Morocco,29,61,90,23,44,20,19,28,10,24,42,56,446
116,Mozambique,0,2,1,0,2,1,0,0,3,1,2,2,14
117,Myanmar,16,23,19,42,16,11,16,10,33,25,14,27,252
118,Namibia,2,0,1,10,3,0,2,0,2,0,1,3,24
119,Nepal,100,97,186,94,39,30,25,50,47,90,126,181,"1,065"
120,Netherlands,"1,141","1,232","1,422","1,575",483,423,"2,053","1,021",473,559,649,956,"11,987"
121,New Zealand,112,131,246,329,181,153,239,166,186,244,307,572,"2,866"
122,Nicaragua,0,0,0,0,0,1,1,0,0,0,1,0,3
123,Nigeria,5,3,3,5,0,0,1,1,1,1,1,6,27
124,Niger,0,0,0,0,1,0,1,0,0,0,0,0,2
125,Norway,521,595,768,587,192,"1,021",757,295,250,257,332,408,"5,983"
126,Oman,101,127,93,18,47,35,75,55,26,58,84,157,876
127,Pakistan,610,691,"1,256",138,214,279,241,286,421,443,783,898,"6,260"
128,Palestinian Territories,20,27,55,13,29,21,28,20,15,23,39,76,366
129,Panama,2,1,0,0,1,2,4,1,1,0,0,0,12
130,Papua New Guinea,0,1,2,1,0,1,2,1,3,1,1,8,21
131,Paraguay,1,2,0,3,0,0,0,1,0,0,2,1,10
132,Peru,11,12,13,9,10,1,3,5,3,4,2,14,87
133,Philippines,109,157,256,246,160,97,149,125,115,162,149,236,"1,961"
134,Poland,"3,185","4,315","3,315","1,391",203,320,344,261,228,307,802,524,"15,195"
135,Portugal,157,206,341,295,64,128,86,113,95,120,145,156,"1,906"
136,Qatar,4,17,53,5,55,9,38,9,21,15,18,57,301
137,Republic Of Zimbabwe,6,0,1,0,1,0,0,1,0,0,1,0,10
138,Romania,528,776,517,475,50,46,64,117,77,110,146,407,"3,313"
139,Russian Federation,"13,478","15,340","8,899","3,874","3,202","1,610","1,918","1,426","1,553","6,189","13,820","19,963","91,272"
140,Rwanda,3,1,0,2,0,0,0,0,0,0,1,2,9
141,Saint Kitts And Nevis,4,8,3,3,6,2,3,1,1,4,1,10,46
142,San Marino,0,0,0,0,0,0,0,0,0,0,0,1,1
143,Saint Lucia,0,0,0,1,0,0,3,2,0,0,1,0,7
144,Saudi Arabia,"1,167",861,"1,397",225,365,281,311,220,118,212,471,324,"5,952"
145,Senegal,1,0,0,0,1,3,0,1,1,1,1,1,10
146,Serbia,138,158,147,95,7,6,9,13,7,12,27,54,673
147,Seychelles,37,32,16,30,14,9,20,29,27,36,31,66,347
148,Sierra Leone,0,0,2,2,1,0,1,1,0,3,0,0,10
149,Singapore,229,283,489,289,209,222,156,182,262,297,432,720,"3,770"
150,Slovakia,363,515,462,287,66,47,112,50,38,87,199,206,"2,432"
151,Slovenia,68,116,54,106,3,24,80,9,6,33,21,82,602
152,Solomon Islands,0,0,0,0,0,0,1,0,0,0,0,0,1
153,Somalia,1,2,4,1,1,0,0,0,1,5,0,3,18
154,South Africa-Zuid Afrika,73,161,290,257,64,76,55,51,34,58,125,258,"1,502"
155,South Korea ,104,117,200,151,63,102,87,111,138,211,237,322,"1,843"
156,South Sudan,0,0,0,0,0,0,1,0,0,0,0,0,1
157,Spain,597,744,"1,112","1,447",692,"1,027","1,499","2,148","1,091",799,748,991,"12,895"
158,Sudan,147,151,156,15,63,21,65,21,36,66,32,45,818
159,Suriname,0,1,0,2,0,0,0,1,0,1,0,0,5
160,Swaziland,1,2,0,0,0,0,0,0,0,0,0,1,4
161,Sweden,683,818,725,464,104,304,209,124,145,220,409,892,"5,097"
162,Switzerland,"1,186","1,495","1,243","1,647",570,665,"2,207",695,583,889,832,"1,248","13,260"
163,Syrian Arab Republic,5,4,1,1,0,1,0,1,0,0,0,1,14
164,Taiwan,13,23,35,16,11,50,16,17,22,24,59,77,363
165,Tajikistan,28,36,28,0,2,7,1,3,5,6,11,6,133
166,Tanzania,3,2,16,6,1,3,3,2,2,1,22,24,85
167,Thailand,72,86,156,123,84,131,84,97,89,210,282,311,"1,725"
168,TIMOR-LESTE,0,0,0,0,0,0,0,0,0,0,0,2,2
169,Togo,2,0,0,1,1,0,0,0,0,0,0,0,4
170,Tonga,0,0,1,0,0,0,0,0,0,0,0,0,1
171,Trinidad And Tobago,1,1,3,3,1,0,0,1,1,1,2,8,22
172,Tunisia,30,36,94,28,38,19,11,11,9,23,23,57,379
173,Turkey,174,166,290,176,66,57,57,42,47,61,154,224,"1,514"
174,Turkmenistan,2,4,3,2,2,0,3,0,0,4,0,9,29
175,Uganda,3,1,8,6,3,9,3,2,9,2,4,6,56
176,Ukraine,"7,774","5,288",401,158,84,77,58,68,69,136,260,544,"14,917"
177,United Arab Emirates,64,53,240,51,191,69,112,110,53,74,123,207,"1,347"
178,United Kingdom,"7,442","10,642","12,908","11,539","3,723","3,368","9,257","6,776","2,872","4,275","4,506","7,879","85,187"
179,United States,"1,829","1,855","3,114","1,872","1,368","1,647","1,469","1,105",991,1253,2089,3638,"22,230"
180,Uruguay,1,6,13,10,1,1,1,2,1,7,3,7,53
181,Uzbekistan,85,382,563,32,15,21,13,12,13,32,30,44,"1,242"
182,Vanuatu,1,0,0,0,0,1,0,1,0,2,2,3,10
183,Venezuela,4,2,8,4,1,1,2,0,1,3,2,2,30
184,Vietnam,17,40,46,83,34,43,22,46,41,52,37,58,519
185,Yemen ,24,26,36,3,17,13,13,21,6,8,41,21,229
186,Zambia,1,1,1,0,2,1,0,0,1,2,1,16,26
187,Zimbabwe,19,3,7,6,13,3,5,0,0,1,5,7,69
Total,,"82,327","96,507","106,500","62,980","30,207","32,856","47,293","37,760","29,802","42,026","59,759","91,961","719,978"
