Index,Country,January,February,March,April,May,June,July,August,September,October,November,December,Total
1,Afghanistan,0,2,16,0,1,0,2,0,0,0,7,11,39
2,Albania,21,7,10,6,7,8,4,2,2,3,3,10,83
3,Algeria,6,24,31,8,15,9,10,9,10,12,11,29,174
4,Andorra,0,1,3,0,2,1,2,13,0,0,0,3,25
5,Antarctica,0,0,0,0,0,0,0,0,0,0,0,1,1
6,Angola,2,2,3,2,0,0,1,0,3,0,0,0,13
7,Antigua & Barbuda,2,0,3,1,2,1,1,2,0,1,2,1,16
8,Argentina,29,25,38,27,14,7,8,4,4,17,40,55,268
9,Armenia,56,89,74,56,26,14,25,15,37,57,86,244,779
10,Australia,"2,814","1,688","2,359","3,508","1,660","2,511","1,974","1,898","2,309","2,106","2,939","5,158","30,924"
11,Austria,788,"1,054",887,575,189,109,299,206,152,239,424,619,"5,541"
12,Azerbaijan,65,75,366,29,21,9,11,37,9,15,55,89,781
13,Bahamas,0,0,0,0,0,1,0,0,0,0,1,0,2
14,Bahrain,59,49,80,22,51,42,36,22,14,28,19,88,510
15,Bangladesh,302,259,451,155,249,129,176,168,338,417,511,662,"3,817"
16,Barbados,0,3,0,0,1,0,0,0,1,0,2,6,13
17,Belarus,736,823,515,129,68,34,35,46,54,143,456,582,"3,621"
18,Belgium,495,620,761,846,212,259,"1,115",475,316,274,279,512,"6,164"
19,Belize,1,0,1,0,0,0,0,0,0,0,0,0,2
20,Benin,0,0,0,1,0,0,0,0,0,0,0,0,1
21,Bhutan,30,11,6,2,1,3,3,30,8,5,31,9,139
22,Bolivia,6,1,3,8,2,2,0,2,3,5,3,2,37
23,Bosnia & Herzegovina,15,27,28,11,5,1,0,4,0,2,5,6,104
24,Botswana,5,0,0,1,2,0,3,0,0,0,0,4,15
25,Brazil,49,48,87,135,42,27,34,32,40,27,51,97,669
26,Brunei Darussalam,0,0,0,0,1,0,0,6,2,1,2,4,16
27,Bulgaria,305,547,396,146,15,13,13,25,22,18,30,113,"1,643"
28,Burkina Faso,1,0,0,0,0,0,0,0,0,0,0,0,1
29,Cambodia,21,22,2,4,6,2,14,3,8,12,43,20,157
30,Cameroon,1,1,2,0,0,0,0,2,0,1,0,0,7
31,Canada,"1,666","1,958","2,989","2,083","2,013","2,308","3,458","2,581","1,552","1,625","1,994","2,618","26,845"
32,Cape Verde,2,2,1,1,0,0,0,0,0,0,0,0,6
33,Chad,0,2,0,0,1,0,0,1,0,0,0,1,5
34,Chile,29,14,30,12,16,5,7,4,7,12,23,23,182
35,China,226,266,358,261,242,231,266,534,637,468,591,635,"4,715"
36,Colombia,20,28,40,61,37,12,8,20,11,23,17,27,304
37,Comoros,2,1,2,1,2,2,0,0,1,1,1,3,16
38,"Congo, Republic Of.",3,1,3,1,0,0,2,0,1,1,2,0,14
39,Costa Rica,4,11,7,5,1,1,0,2,0,0,3,6,40
40,Cote Divoire,0,0,0,0,0,0,1,0,0,0,0,0,1
41,Croatia,60,67,73,23,8,8,13,8,8,8,21,41,338
42,Cuba,1,1,4,7,1,1,2,0,0,0,0,2,19
43,Cyprus,39,25,48,54,11,17,19,73,19,19,28,38,390
44,Czech Republic,"1,174","2,055","1,802",686,83,151,217,95,53,150,355,529,"7,350"
45,Denmark,"1,013","1,217","1,187","1,307",295,275,457,235,164,265,312,551,"7,278"
46,Djibouti,0,1,1,1,3,0,0,0,0,0,1,0,7
47,Dominica,3,4,6,4,0,0,2,3,0,2,7,6,37
48,Dominican Republic,2,0,0,3,0,0,0,0,0,1,1,1,8
49,Ecuador,2,4,7,4,6,12,1,3,5,2,5,8,59
50,Egypt,217,453,445,170,211,84,136,41,53,173,137,220,"2,340"
51,El Salvador,0,4,3,3,0,3,1,3,1,2,2,3,25
